UniProt ID;Gene;Protein name
P16860;NPPB;Natriuretic peptides B
P08670;VIM;Vimentin
Q9NRD8;DUOX2;Dual oxidase 2
O95684;CEP43;Centrosomal protein 43
P31483;TIA1;Nucleolysin TIA-1 isoform p40
Q9Y2B0;CNPY2;Protein canopy homolog 2
O96017;CHEK2;Serine/threonine-protein kinase Chk2
P21246;PTN;Pleiotrophin
Q13105;ZBTB17;Zinc finger and BTB domain-containing protein 17
O43186;CRX;Cone-rod homeobox protein
O43854;EDIL3;EGF-like repeat and discoidin I-like domain-containing protein 3
P58546;MTPN;Myotrophin
P34998;CRHR1;Corticotropin-releasing factor receptor 1
P62736;ACTA2;Actin, aortic smooth muscle
O60635;TSPAN1;Tetraspanin-1
O95183;VAMP5;Vesicle-associated membrane protein 5
O95988;TCL1B;T-cell leukemia/lymphoma protein 1B
Q15831;STK11;Serine/threonine-protein kinase STK11
Q6UWL2;SUSD1;Sushi domain-containing protein 1
Q9UKL0;RCOR1;REST corepressor 1
P51161;FABP6;Gastrotropin
Q969D9;TSLP;Thymic stromal lymphopoietin
P35218;CA5A;Carbonic anhydrase 5A, mitochondrial
P55082;MFAP3;Microfibril-associated glycoprotein 3
P21964;COMT;Catechol O-methyltransferase
Q12912;IRAG2;Inositol 1,4,5-triphosphate receptor associated 2
Q96N03;VSTM2L;V-set and transmembrane domain-containing protein 2-like protein
Q16619;CTF1;Cardiotrophin-1
P40225;THPO;Thrombopoietin
P17516;AKR1C4;Aldo-keto reductase family 1 member C4
P13807;GYS1;Glycogen [starch] synthase, muscle
P19429;TNNI3;Troponin I, cardiac muscle
Q9NRV9;HEBP1;Heme-binding protein 1
P20718;GZMH;Granzyme H
O15354;GPR37;Prosaposin receptor GPR37
Q9H5Y7;SLITRK6;SLIT and NTRK-like protein 6
P61978;HNRNPK;Heterogeneous nuclear ribonucleoprotein K
Q8NHS0;DNAJB8;DnaJ homolog subfamily B member 8
P09237;MMP7;Matrilysin
Q99549;MPHOSPH8;M-phase phosphoprotein 8
P01375;TNF;Tumor necrosis factor
P55259;GP2;Pancreatic secretory granule membrane major glycoprotein GP2
Q15165;PON2;Serum paraoxonase/arylesterase 2
P52789;HK2;Hexokinase-2
P17676;CEBPB;CCAAT/enhancer-binding protein beta
Q92558;WASF1;Wiskott-Aldrich syndrome protein family member 1
P36952;SERPINB5;Serpin B5
Q8TE57;ADAMTS16;A disintegrin and metalloproteinase with thrombospondin motifs 16
P34947;GRK5;G protein-coupled receptor kinase 5
Q8NC01;CLEC1A;C-type lectin domain family 1 member A
P08319;ADH4;All-trans-retinol dehydrogenase [NAD(+)] ADH4
P25815;S100P;Protein S100-P
Q16620;NTRK2;BDNF/NT-3 growth factors receptor
Q15067;ACOX1;Peroxisomal acyl-coenzyme A oxidase 1
Q04760;GLO1;Lactoylglutathione lyase
P09525;ANXA4;Annexin A4
Q03154;ACY1;Aminoacylase-1
O75356;ENTPD5;Ectonucleoside triphosphate diphosphohydrolase 5
P40189;IL6ST;Interleukin-6 receptor subunit beta
P00568;AK1;Adenylate kinase isoenzyme 1
Q13444;ADAM15;Disintegrin and metalloproteinase domain-containing protein 15
Q05315;CLC;Galectin-10
O60496;DOK2;Docking protein 2
Q9UHL4;DPP7;Dipeptidyl peptidase 2
Q96A56;TP53INP1;Tumor protein p53-inducible nuclear protein 1
P21549;AGXT;Serine--pyruvate aminotransferase
O14793;MSTN;Growth/differentiation factor 8
Q9BYF1;ACE2;Angiotensin-converting enzyme 2
P34913;EPHX2;Bifunctional epoxide hydrolase 2
Q13043;STK4;Serine/threonine-protein kinase 4
P09496;CLTA;Clathrin light chain A
P21980;TGM2;Protein-glutamine gamma-glutamyltransferase 2
Q9BWV1;BOC;Brother of CDO
P10644;PRKAR1A;cAMP-dependent protein kinase type I-alpha regulatory subunit
Q9Y4X3;CCL27;C-C motif chemokine 27
P46379;BAG6;Large proline-rich protein BAG6
NT-proBNP;NT-proBNP;N-terminal prohormone of brain natriuretic peptide
P09668;CTSH;Pro-cathepsin H
O94903;PLPBP;Pyridoxal phosphate homeostasis protein
P16234;PDGFRA;Platelet-derived growth factor receptor alpha
O14917;PCDH17;Protocadherin-17
P40818;USP8;Ubiquitin carboxyl-terminal hydrolase 8
O75354;ENTPD6;Ectonucleoside triphosphate diphosphohydrolase 6
P22004;BMP6;Bone morphogenetic protein 6
Q9H7M9;VSIR;V-type immunoglobulin domain-containing suppressor of T-cell activation
Q9H773;DCTPP1;dCTP pyrophosphatase 1
P31949;S100A11;Protein S100-A11
P01222;TSHB;Thyrotropin subunit beta
P05231;IL6;Interleukin-6
Q9NWQ8;PAG1;Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
Q6PJW8;CNST;Consortin
O60664;PLIN3;Perilipin-3
P31997;CEACAM8;Carcinoembryonic antigen-related cell adhesion molecule 8
Q9UMF0;ICAM5;Intercellular adhesion molecule 5
Q12864;CDH17;Cadherin-17
Q9Y5X1;SNX9;Sorting nexin-9
P07585;DCN;Decorin
P48357;LEPR;Leptin receptor
Q9UKP3;ITGB1BP2;Integrin beta-1-binding protein 2
Q6GTS8;PM20D1;N-fatty-acyl-amino acid synthase/hydrolase PM20D1
P08263;GSTA1;Glutathione S-transferase A1
Q9Y286;SIGLEC7;Sialic acid-binding Ig-like lectin 7
Q9NY25;CLEC5A;C-type lectin domain family 5 member A
P51693;APLP1;Amyloid-like protein 1
O95502;NPTXR;Neuronal pentraxin receptor
O75340;PDCD6;Programmed cell death protein 6
O75791;GRAP2;GRB2-related adapter protein 2
Q13541;EIF4EBP1;Eukaryotic translation initiation factor 4E-binding protein 1
Q06418;TYRO3;Tyrosine-protein kinase receptor TYRO3
Q9ULL4;PLXNB3;Plexin-B3
P16112;ACAN;Aggrecan core protein
Q9HBB8;CDHR5;Cadherin-related family member 5
Q9UHD0;IL19;Interleukin-19
P55285;CDH6;Cadherin-6
P41218;MNDA;Myeloid cell nuclear differentiation antigen
