UniProt ID;Gene;Protein name
Q12860;CNTN1;Contactin-1
P01130;LDLR;Low-density lipoprotein receptor
P05107;ITGB2;Integrin beta-2
Q96F46;IL17RA;Interleukin-17 receptor A
P20333;TNFRSF1B;Tumor necrosis factor receptor superfamily member 1B
P14780;MMP9;Matrix metalloproteinase-9
P54760;EPHB4;Ephrin type-B receptor 4
P01589;IL2RA;Interleukin-2 receptor subunit alpha
P24158;PRTN3;Myeloblastin
P19957;PI3;Elafin
P10646;TFPI;Tissue factor pathway inhibitor
P05121;SERPINE1;Plasminogen activator inhibitor 1
O00175;CCL24;C-C motif chemokine 24
P02786;TFRC;Transferrin receptor protein 1
O14798;TNFRSF10C;Tumor necrosis factor receptor superfamily member 10C
Q99988;GDF15;Growth/differentiation factor 15
P16581;SELE;E-selectin
P20160;AZU1;Azurocidin
P80370;DLK1;Protein delta homolog 1
Q9HCB6;SPON1;Spondin-1
P15090;FABP4;Fatty acid-binding protein, adipocyte
P05164;MPO;Myeloperoxidase
P08887;IL6R;Interleukin-6 receptor subunit alpha
Q9HD89;RETN;Resistin
P08833;IGFBP1;Insulin-like growth factor-binding protein 1
Q13231;CHIT1;Chitotriosidase-1
P13686;ACP5;Tartrate-resistant acid phosphatase type 5
P35247;SFTPD;Pulmonary surfactant-associated protein D
P16422;EPCAM;Epithelial cell adhesion molecule
P15144;ANPEP;Aminopeptidase N
P30530;AXL;Tyrosine-protein kinase receptor UFO
Q9H2A7;CXCL16;C-X-C motif chemokine 16
P14778;IL1R1;Interleukin-1 receptor type 1
Q5T2D2;TREML2;Trem-like transcript 2 protein
O00300;TNFRSF11B;Tumor necrosis factor receptor superfamily member 11B
Q13740;ALCAM;CD166 antigen
Q07654;TFF3;Trefoil factor 3
P33151;CDH5;Cadherin-5
P16109;SELP;P-selectin
P13500;CCL2;C-C motif chemokine 2
Q86VB7;CD163;Scavenger receptor cysteine-rich type 1 protein M130
P17931;LGALS3;Galectin-3
P28799;GRN;Progranulin
Q9NQ76;MEPE;Matrix extracellular phosphoglycoprotein
Q13867;BLMH;Bleomycin hydrolase
P98160;HSPG2;Basement membrane-specific heparan sulfate proteoglycan core protein
P36941;LTBR;Tumor necrosis factor receptor superfamily member 3
Q9UM47;NOTCH3;Neurogenic locus notch homolog protein 3
Q99727;TIMP4;Metalloproteinase inhibitor 4
P04080;CSTB;Cystatin-B
Q92956;TNFRSF14;Tumor necrosis factor receptor superfamily member 14
P00749;PLAU;Urokinase-type plasminogen activator
P42574;CASP3;Caspase-3
Q16663;CCL15;C-C motif chemokine 15
P78324;SIRPA;Tyrosine-protein phosphatase non-receptor type substrate 1
P27930;IL1R2;Interleukin-1 receptor type 2
P56470;LGALS4;Galectin-4
Q9Y624;F11R;Junctional adhesion molecule A
P15085;CPA1;Carboxypeptidase A1
O75594;PGLYRP1;Peptidoglycan recognition protein 1
P07339;CTSD;Cathepsin D
P10451;SPP1;Osteopontin
Q03405;PLAUR;Urokinase plasminogen activator surface receptor
Q8NBP7;PCSK9;Proprotein convertase subtilisin/kexin type 9
Q9Y275;TNFSF13B;Tumor necrosis factor ligand superfamily member 13B
P02144;MB;Myoglobin
P25445;FAS;Tumor necrosis factor receptor superfamily member 6
P15086;CPB1;Carboxypeptidase B
P36222;CHI3L1;Chitinase-3-like protein 1
Q01638;IL1RL1;Interleukin-1 receptor-like 1
Q99969;RARRES2;Retinoic acid receptor responder protein 2
O15467;CCL16;C-C motif chemokine 16
NT-proBNP;NT-proBNP;N-terminal prohormone of brain natriuretic peptide
P16284;PECAM1;Platelet endothelial cell adhesion molecule
P04275;VWF;von Willebrand factor
P18065;IGFBP2;Insulin-like growth factor-binding protein 2
P19438;TNFRSF1A;Tumor necrosis factor receptor superfamily member 1A
P04085;PDGFA;Platelet-derived growth factor subunit A
Q92876;KLK6;Kallikrein-6
P13598;ICAM2;Intercellular adhesion molecule 2
Q9HCN6;GP6;Platelet glycoprotein VI
P08254;MMP3;Stromelysin-1
Q9UBR2;CTSZ;Cathepsin Z
Q15166;PON3;Serum paraoxonase/lactonase 3
P02452;COL1A1;Collagen alpha-1(I) chain
O95998;IL18BP;Interleukin-18-binding protein
Q9NPY3;CD93;Complement component C1q receptor
Q16270;IGFBP7;Insulin-like growth factor-binding protein 7
P00533;EGFR;Epidermal growth factor receptor
Q96PL1;SCGB3A2;Secretoglobin family 3A member 2
P00750;PLAT;Tissue-type plasminogen activator
P08253;MMP2;72 kDa type IV collagenase
