UniProt ID;Gene;Protein name
Q8N907;DAND5;DAN domain family member 5
Q04609;FOLH1;Glutamate carboxypeptidase 2
P62834;RAP1A;Ras-related protein Rap-1A
P10070;GLI2;Zinc finger protein GLI2
P61328;FGF12;Fibroblast growth factor 12
O00206;TLR4;Toll-like receptor 4
P46013;MKI67;Proliferation marker protein Ki-67
P24864;CCNE1;G1/S-specific cyclin-E1
Q9H832;UBE2Z;Ubiquitin-conjugating enzyme E2 Z
P85299;PRR5;Proline-rich protein 5
P49715;CEBPA;CCAAT/enhancer-binding protein alpha
Q9Y4C1;KDM3A;Lysine-specific demethylase 3A
Q9NP95;FGF20;Fibroblast growth factor 20
P06401;PGR;Progesterone receptor
Q6UXL0;IL20RB;Interleukin-20 receptor subunit beta
Q9NP85;NPHS2;Podocin
P15531;NME1;Nucleoside diphosphate kinase A
Q6UXM1;LRIG3;Leucine-rich repeats and immunoglobulin-like domains protein 3
Q05329;GAD2;Glutamate decarboxylase 2
P09693;CD3G;T-cell surface glycoprotein CD3 gamma chain
P24928;POLR2A;DNA-directed RNA polymerase II subunit RPB1
Q09472;EP300;Histone acetyltransferase p300
Q9HBE5;IL21R;Interleukin-21 receptor
P43378;PTPN9;Tyrosine-protein phosphatase non-receptor type 9
Q92185;ST8SIA1;Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase
Q9BY41;HDAC8;Histone deacetylase 8
P10767;FGF6;Fibroblast growth factor 6
Q01201;RELB;Transcription factor RelB
P41273;TNFSF9;Tumor necrosis factor ligand superfamily member 9
P03372;ESR1;Estrogen receptor
Q9UPW0;FOXJ3;Forkhead box protein J3
P25490;YY1;Transcriptional repressor protein YY1
Q6R327;RICTOR;Rapamycin-insensitive companion of mTOR
Q13190;STX5;Syntaxin-5
Q6UXZ4;UNC5D;Netrin receptor UNC5D
Q9NQI0;DDX4;Probable ATP-dependent RNA helicase DDX4
Q8WX93;PALLD;Palladin
Q16665;HIF1A;Hypoxia-inducible factor 1-alpha
P15927;RPA2;Replication protein A 32 kDa subunit
Q99665;IL12RB2;Interleukin-12 receptor subunit beta-2
O75365;PTP4A3;Protein tyrosine phosphatase type IVA 3
P24530;EDNRB;Endothelin receptor type B
Q04837;SSBP1;Single-stranded DNA-binding protein, mitochondrial
O00401;WASL;Neural Wiskott-Aldrich syndrome protein
Q9NZS2;KLRF1;Killer cell lectin-like receptor subfamily F member 1
Q9NWV8;BABAM1;BRISC and BRCA1-A complex member 1
Q7Z698;SPRED2;Sprouty-related, EVH1 domain-containing protein 2
Q9Y2I7;PIKFYVE;1-phosphatidylinositol 3-phosphate 5-kinase
Q9NRR2;TPSG1;Tryptase gamma
Q96EB6;SIRT1;NAD-dependent protein deacetylase sirtuin-1
Q12888;TP53BP1;TP53-binding protein 1
Q9NY59;SMPD3;Sphingomyelin phosphodiesterase 3
Q8WVV4;POF1B;Protein POF1B
Q13114;TRAF3;TNF receptor-associated factor 3
Q6EBC2;IL31;Interleukin-31
Q14511;NEDD9;Enhancer of filamentation 1
Q8NHP1;AKR7L;Aflatoxin B1 aldehyde reductase member 4
O95429;BAG4;BAG family molecular chaperone regulator 4
P36897;TGFBR1;TGF-beta receptor type-1
Q8IX19;MCEMP1;Mast cell-expressed membrane protein 1
Q6B9Z1;IGFL4;Insulin growth factor-like family member 4
Q9Y3D3;MRPS16;28S ribosomal protein S16, mitochondrial
Q8IYW5;RNF168;E3 ubiquitin-protein ligase RNF168
Q96MM7;HS6ST2;Heparan-sulfate 6-O-sulfotransferase 2
Q9UHN6;CEMIP2;Cell surface hyaluronidase
Q5TBC7;BCL2L15;Bcl-2-like protein 15
P09923;ALPI;Intestinal-type alkaline phosphatase
Q96D71;REPS1;RalBP1-associated Eps domain-containing protein 1
Q92574;TSC1;Hamartin
P98170;XIAP;E3 ubiquitin-protein ligase XIAP
P36551;CPOX;Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial
O00148;DDX39A;ATP-dependent RNA helicase DDX39A
O43583;DENR;Density-regulated protein
P48730;CSNK1D;Casein kinase I isoform delta
Q9NS62;THSD1;Thrombospondin type-1 domain-containing protein 1
Q8NI17;IL31RA;Interleukin-31 receptor subunit alpha
Q93062;RBPMS;RNA-binding protein with multiple splicing
Q9UIK4;DAPK2;Death-associated protein kinase 2
Q8NBK3;SUMF1;Formylglycine-generating enzyme
P35219;CA8;Carbonic anhydrase-related protein
O60447;EVI5;Ecotropic viral integration site 5 protein homolog
Q8IV38;ANKMY2;Ankyrin repeat and MYND domain-containing protein 2
P54274;TERF1;Telomeric repeat-binding factor 1
Q9GZN4;PRSS22;Brain-specific serine protease 4
O75173;ADAMTS4;A disintegrin and metalloproteinase with thrombospondin motifs 4
P17643;TYRP1;5,6-dihydroxyindole-2-carboxylic acid oxidase
Q15465;SHH;Sonic hedgehog protein
Q7Z5L3;C1QL2;Complement C1q-like protein 2
Q96EP0;RNF31;E3 ubiquitin-protein ligase RNF31
