UniProt ID;Gene;Protein name
Q8IZJ0;IFNL2;Interferon lambda-2
Q15042;RAB3GAP1;Rab3 GTPase-activating protein catalytic subunit
Q96PV0;SYNGAP1;Ras/Rap GTPase-activating protein SynGAP
Q96L15;ART5;Ecto-ADP-ribosyltransferase 5
P04234;CD3D;T-cell surface glycoprotein CD3 delta chain
P25440;BRD2;Bromodomain-containing protein 2
O95049;TJP3;Tight junction protein ZO-3
P08908;HTR1A;5-hydroxytryptamine receptor 1A
Q30KQ4;DEFB116;Beta-defensin 116
Q13509;TUBB3;Tubulin beta-3 chain
Q5SXM8;DNLZ;DNL-type zinc finger protein
Q8N111;CEND1;Cell cycle exit and neuronal differentiation protein 1
Q02641;CACNB1;Voltage-dependent L-type calcium channel subunit beta-1
Q96P66;GPR101;Probable G-protein coupled receptor 101
P35221;CTNNA1;Catenin alpha-1
Q9H461;FZD8;Frizzled-8
O95372;LYPLA2;Acyl-protein thioesterase 2
Q96Q89;KIF20B;Kinesin-like protein KIF20B
Q9NQW8;CNGB3;Cyclic nucleotide-gated cation channel beta-3
P26441;CNTF;Ciliary neurotrophic factor
O43474;KLF4;Krueppel-like factor 4
Q9NY72;SCN3B;Sodium channel subunit beta-3
P43220;GLP1R;Glucagon-like peptide 1 receptor
P41732;TSPAN7;Tetraspanin-7
Q96GG9;DCUN1D1;DCN1-like protein 1
P48169;GABRA4;Gamma-aminobutyric acid receptor subunit alpha-4
P49792;RANBP2;E3 SUMO-protein ligase RanBP2
Q03721;KCNC4;Potassium voltage-gated channel subfamily C member 4
Q13224;GRIN2B;Glutamate receptor ionotropic, NMDA 2B
Q17R60;IMPG1;Interphotoreceptor matrix proteoglycan 1
Q14894;CRYM;Ketimine reductase mu-crystallin
O75312;ZPR1;Zinc finger protein ZPR1
P60880;SNAP25;Synaptosomal-associated protein 25
O76039;CDKL5;Cyclin-dependent kinase-like 5
Q7RTW8;OTOA;Otoancorin
Q5U5Z8;AGBL2;Cytosolic carboxypeptidase 2
Q13936;CACNA1C;Voltage-dependent L-type calcium channel subunit alpha-1C
P07954;FH;Fumarate hydratase, mitochondrial
A6NGG8;PCARE;Photoreceptor cilium actin regulator
Q7L311;ARMCX2;Armadillo repeat-containing X-linked protein 2
Q9Y3E2;BOLA1;BolA-like protein 1
Q9BZ29;DOCK9;Dedicator of cytokinesis protein 9
P47874;OMP;Olfactory marker protein
P52179;MYOM1;Myomesin-1
Q99250;SCN2A;Sodium channel protein type 2 subunit alpha
O75631;UPK3A;Uroplakin-3a
Q96J84;KIRREL1;Kin of IRRE-like protein 1
Q9UKV0;HDAC9;Histone deacetylase 9
Q19T08;ECSCR;Endothelial cell-specific chemotaxis regulator
Q9UKW4;VAV3;Guanine nucleotide exchange factor VAV3
Q14627;IL13RA2;Interleukin-13 receptor subunit alpha-2
Q9Y3B9;RRP15;RRP15-like protein
P05787;KRT8;Keratin, type II cytoskeletal 8
Q6P5Q4;LMOD2;Leiomodin-2
Q9UJC5;SH3BGRL2;SH3 domain-binding glutamic acid-rich-like protein 2
Q8IVU1;IGDCC3;Immunoglobulin superfamily DCC subclass member 3
Q99856;ARID3A;AT-rich interactive domain-containing protein 3A
Q8IWB1;ITPRIP;Inositol 1,4,5-trisphosphate receptor-interacting protein
Q14129;DGCR6;Protein DGCR6
Q9H492;MAP1LC3A;Microtubule-associated proteins 1A/1B light chain 3A
Q96PH6;DEFB118;Beta-defensin 118
Q6QNY1;BLOC1S2;Biogenesis of lysosome-related organelles complex 1 subunit 2
P26715;KLRC1;NKG2-A/NKG2-B type II integral membrane protein
P26378;ELAVL4;ELAV-like protein 4
P52788;SMS;Spermine synthase
Q86T26;TMPRSS11B;Transmembrane protease serine 11B
P23435;CBLN1;Cerebellin-1
Q99700;ATXN2;Ataxin-2
Q8WTQ1;DEFB104A_DEFB104B;Beta-defensin 104
Q9Y6U3;SCIN;Adseverin
